2022-01-24,10:39:57,20
2022-01-24,10:44:57,24
2022-01-24,10:49:57,28
2022-01-24,10:54:57,32
2022-01-24,10:59:57,36
2022-01-24,11:04:57,41
2022-01-24,11:09:57,47
2022-01-24,11:14:57,52
2022-01-24,11:44:57,55
2022-01-24,11:49:57,60
2022-01-24,11:54:57,62
2022-01-24,11:59:57,65
2022-01-24,12:04:57,68
2022-01-24,12:09:57,71
2022-01-24,12:14:57,74
2022-01-24,12:19:57,77
2022-01-24,12:24:57,80
2022-01-24,12:29:57,83
2022-01-24,12:34:57,86
2022-01-24,12:39:58,89
2022-01-24,12:44:58,92
2022-01-24,12:49:58,94
2022-01-24,12:54:58,96
2022-01-24,12:59:58,97
2022-01-24,13:04:58,98
